flyID,batch_combination,sperm_donor_hatch,SF_donor_hatch,dissection_date,time_recording,sperm_age,seminal_fluid_age,treatment_combination,mean_motility_3frames,sperm_motility_frame1,sperm_motility_frame2,sperm_motility_frame3,sperm_motility_field_of_view,video_filename_old,video_recoded
28,"B,B",30.12.22,30.12.22,01.02.23,6,old sperm,old SF,old sperm with old SF,,,,,1.2499,Fly28_6min,112
29,"B,I",30.12.22,18.01.23,01.02.23,0,old sperm,young SF,old sperm with young SF,6.014266667,5.6206,7.2079,5.2143,3.7004,Fly29_0min,113
29,"B,I",30.12.22,18.01.23,01.02.23,2,old sperm,young SF,old sperm with young SF,4.453,3.9826,6.0895,3.2869,3.0293,Fly29_2min,114
29,"B,I",30.12.22,18.01.23,01.02.23,4,old sperm,young SF,old sperm with young SF,3.933866667,3.1503,5.3709,3.2804,2.8107,Fly29_4min,115
29,"B,I",30.12.22,18.01.23,01.02.23,6,old sperm,young SF,old sperm with young SF,3.606933333,3.0624,5.0004,2.758,2.5274,Fly29_6min,116
30,"I,I",18.01.23,18.01.23,01.02.23,0,young sperm,young SF,young sperm with young SF,10.2055,11.2047,9.7387,9.6731,6.4386,Fly30_0min,117
30,"I,I",18.01.23,18.01.23,01.02.23,2,young sperm,young SF,young sperm with young SF,7.672333333,9.2297,7.9696,5.8177,5.463,Fly30_2min,118
30,"I,I",18.01.23,18.01.23,01.02.23,4,young sperm,young SF,young sperm with young SF,6.423833333,7.8325,7.0842,4.3548,4.6988,Fly30_4min,119
30,"I,I",18.01.23,18.01.23,01.02.23,6,young sperm,young SF,young sperm with young SF,5.682533333,6.8549,6.2747,3.918,4.3061,Fly30_6min,120
31,"B,B",30.12.22,30.12.22,01.02.23,0,old sperm,old SF,old sperm with old SF,2.845333333,2.9383,1.7861,3.8116,2.1052,Fly31_0min,121
31,"B,B",30.12.22,30.12.22,01.02.23,2,old sperm,old SF,old sperm with old SF,1.672166667,1.5682,1.317,2.1313,1.5824,Fly31_2min,122
31,"B,B",30.12.22,30.12.22,01.02.23,4,old sperm,old SF,old sperm with old SF,1.5352,1.4138,1.2774,1.9144,1.555,Fly31_4min,123
